Id;Title
1;Actions - Behaviour
2;Efficiency - Competence
3;Music
4;Age
5;Employment - Jobs
6;Negotiations
7;Agreements - Arrangements
8;Enthusiasm - Motivation
9;Numbers
10;Ambition - Determination
11;Feelings - Emotions
12;Plants - Flowers -Trees
13;Anger - Annoyance
14;Food and Drink
15;Politeness
16;Animals - Birds - Fish
17;Frankness - Sincerity
18;Problems - Difficulties
19;Anxiety - Fear
20;Fun - Enjoyment
21;Relationships
22;Arguments - Disagreements
23;Happiness - Sadness
24;Safety - Danger
25;Authority - Power
26;Health - Fitness
27;Secrets - Discretion
28;Beauty - Appearance
29;Hesitation - Indecision
30;Shopping
31;Body
32;Honesty - Dishonesty
33;"Sleep -&nbsp; Tiredness"
34;Business - Work
35;"House &amp; Furniture"
36;Speed - Rapidity
37;Choices - Options
38;Intelligence-Understanding
39;Sports
40;Clothes
41;"Law &amp; Order"
42;Success - Failure
43;Colours
44;Lifestyle - Way of life
45;Surprise - Disbelief
46;Communication
47;Luck - Opportunity
48;Thoughts - Ideas
49;Comparisons-Similarity
50;Madness - Insanity
51;Time
52;Consequences-Effects
53;Memory - Remembering
54;Travel - Transport
55;Descriptions of people
56;Mistakes - Errors
57;Violence
58;Descriptions places- things
59;Money - Finance
60;Weather
